# Select by flag: 0=uniformly populated footprint; 1=ridge line; 2,3= upper(N) and lower(S) footprint bounds
# ra                   dec                    D      flag  
  234.92295972224943   4.0201136691437975     22.0   0     
  226.51970305651682   -2.9496359133289785    22.0   0     
  241.04929118359124   6.965236291548504      22.0   0     
  224.95296847783075   -3.916784721555848     22.0   0     
  226.78631330330566   -1.9097621857690086    22.0   0     
  231.3743466373749    2.1248028884023658     22.0   0     
  235.1288214912217    4.248793203816962      22.0   0     
  242.25527801360363   6.471937007154622      22.0   0     
  237.16694292941165   4.120432861755093      22.0   0     
  234.71390570592777   3.781201191766033      22.0   0     
  222.8886049733836    -7.228220803707144     22.0   0     
  237.69829347371626   4.708258808872366      22.0   0     
  228.10538494129105   -0.5892163473516401    22.0   0     
  223.4860174442019    -7.001057849704901     22.0   0     
  221.36308060368557   -9.286317500627362     22.0   0     
  234.54373947934272   3.260729148039012      22.0   0     
  237.5206851446338    5.407844066708688      22.0   0     
  223.95797638137535   -5.400151640296176     22.0   0     
  222.4739959089676    -6.4887016222824245    22.0   0     
  244.47794904181617   8.049091627997548      22.0   0     
  220.27727868140593   -11.137563857100579    22.0   0     
  229.25487806119287   -0.6681368439315155    22.0   0     
  231.1759773854713    2.3951516053163706     22.0   0     
  224.817933612807     -4.20861032156821      22.0   0     
  236.33414878197684   4.993968054342725      22.0   0     
  219.70100910064644   -10.948968109416041    22.0   0     
  245.65468187895956   8.048684908185049      22.0   0     
  226.070383632974     -2.029527257636121     22.0   0     
  232.8426337374051    1.9904746360894745     22.0   0     
  223.9200448751102    -6.0976799191085       22.0   0     
  242.2008307671175    7.009191688923809      22.0   0     
  246.29699988660207   8.77530528287055       22.0   0     
  222.981307892609     -7.066621256283963     22.0   0     
  238.55248428878284   5.109310359112379      22.0   0     
  236.81900297252494   5.159418969298911      22.0   0     
  232.7824372246023    3.167368845430552      22.0   0     
  221.96408748336964   -8.180514247496454     22.0   0     
  247.14339192966833   9.098664553692409      22.0   0     
  241.82822082846351   6.927907526552336      22.0   0     
  245.04055631670855   8.608869220772174      22.0   0     
  231.36612057002483   0.9616132174264864     22.0   0     
  231.14325802005456   1.5359891174761515     22.0   0     
  242.17570605327666   7.6077639891929305     22.0   0     
  222.11613138876757   -7.501890412768831     22.0   0     
  234.52309884684178   4.298016406274648      22.0   0     
  225.18519637595816   -3.522555903376117     22.0   0     
  247.32330895924102   8.083906759873255      22.0   0     
  231.3999577410152    2.6545486744687445     22.0   0     
