# RA           DEC          D_kpc    flag  
  195.420488   56.749482    10.4     0     
  175.832566   54.193227    9.373    0     
  139.780082   25.948124    8.224    0     
  236.79633    56.163659    12.444   0     
  123.256572   -13.082153   16.027   0     
  188.136022   57.998903    10.027   0     
  125.947724   -6.994772    12.953   0     
  124.568168   -3.859564    14.443   0     
  151.792042   38.682577    8.159    0     
  221.533224   58.779208    11.695   0     
  128.491842   2.536426     11.116   0     
  223.029674   58.528527    11.768   0     
  131.840827   11.702843    9.639    0     
  173.940691   54.229748    9.269    0     
  132.791214   8.695793     9.346    0     
  225.843786   57.74928     11.906   0     
  157.001884   45.001557    8.37     0     
  157.205852   43.333312    8.379    0     
  137.125805   17.238488    8.484    0     
  168.82253    51.006755    8.988    0     
  186.376989   56.915746    9.935    0     
  209.521495   58.641366    11.104   0     
  176.238296   54.506524    9.395    0     
  144.55407    32.397447    8.048    0     
  135.618345   16.676223    8.71     0     
  154.58065    41.086066    8.263    0     
  235.359748   56.873754    12.373   0     
  123.245146   -12.637895   16.041   0     
  153.785886   41.198956    8.231    0     
  130.40388    7.177486     10.177   0     
  131.819581   8.608622     9.646    0     
  120.42377    -16.063518   19.447   0     
  126.351541   -1.35728     12.598   0     
  173.091704   53.246989    9.223    0     
  124.430139   -10.208605   14.61    0     
  132.023789   9.566711     9.579    0     
  191.801533   57.800255    10.216   0     
  133.142384   13.868575    9.249    0     
  121.280098   -11.973604   18.413   0     
  141.00297    23.915633    8.149    0     
  183.588866   55.434897    9.789    0     
  146.531745   35.069196    8.046    0     
  157.126549   44.148361    8.376    0     
  132.940674   11.228177    9.304    0     
  136.291834   19.082814    8.601    0     
  142.285528   29.542767    8.096    0     
  132.525508   13.627916    9.423    0     
  130.415031   5.762904     10.172   0     
  159.024869   45.762406    8.467    0     
  197.394749   58.403616    10.499   0     
  142.132681   27.74339     8.101    0     
  229.600726   56.654312    12.091   0     
  227.232166   56.722896    11.975   0     
  227.779266   56.829272    12.001   0     
  187.409931   55.115912    9.989    0     
  139.43601    25.25684     8.249    0     
  129.052398   0.167654     10.81    0     
  128.74454    -0.837387    10.975   0     
  128.300491   1.875418     11.227   0     
  127.633982   -1.254257    11.643   0     
  141.241853   24.010281    8.138    0     
  146.038465   34.397364    8.044    0     
  231.97255    56.726057    12.207   0     
  173.771435   53.771201    9.26     0     
  125.4873     -6.218422    13.397   0     
  125.837023   -0.943905    13.055   0     
  141.128238   24.199418    8.143    0     
  155.563192   40.253536    8.305    0     
  130.077721   8.710712     10.318   0     
  153.51255    39.246608    8.221    0     
  124.451768   -6.752803    14.584   0     
  146.374745   33.374903    8.045    0     
  181.467284   55.343569    9.676    0     
  121.594483   -11.64671    18.033   0     
  194.54217    58.868396    10.355   0     
  204.423147   57.006943    10.851   0     
  133.07341    9.831943     9.267    0     
  132.961338   11.19596     9.298    0     
  144.329475   27.835183    8.051    0     
  140.148477   25.789894    8.199    0     
  208.822304   57.480049    11.069   0     
  157.545911   42.590886    8.395    0     
  194.857422   57.483915    10.371   0     
  137.210195   18.098837    8.473    0     
  129.949826   7.432634     10.375   0     
  152.875585   39.70723     8.197    0     
  232.934204   55.398088    12.254   0     
  138.428526   22.877681    8.337    0     
  154.797775   39.652945    8.272    0     
  125.603554   -6.8696      13.28    0     
  161.774234   45.751255    8.607    0     
  147.930783   34.828919    8.062    0     
  181.943923   56.376479    9.702    0     
  171.766469   53.134647    9.15     0     
  193.616217   57.486516    10.308   0     
  129.128727   4.942821     10.771   0     
  121.291154   -13.611443   18.4     0     
  130.090677   3.227637     10.312   0     
  221.486786   58.921699    11.693   0     
  141.045291   23.133929    8.147    0     
  127.948008   1.560096     11.441   0     
  159.691181   45.124253    8.5      0     
  121.250359   -16.190987   18.449   0     
  141.505871   25.380119    8.126    0     
  165.776966   47.880209    8.821    0     
  130.996376   7.832847     9.94     0     
  154.403661   43.311339    8.256    0     
  122.937445   -10.508444   16.412   0     
  153.201664   40.742061    8.209    0     
  144.443014   32.270401    8.049    0     
  123.977405   -8.700785    15.157   0     
  183.894278   54.280682    9.805    0     
  131.223367   5.509318     9.855    0     
  230.184062   54.953212    12.119   0     
  150.952485   36.687145    8.132    0     
  121.983785   -16.059542   17.563   0     
  222.622572   58.0985      11.748   0     
  138.605446   20.456184    8.32     0     
  121.941417   -14.260489   17.615   0     
  144.515376   33.073653    8.049    0     
  178.16592    55.657538    9.499    0     
  183.641293   56.561558    9.792    0     
  135.270595   15.90712     8.772    0     
  150.127802   39.098345    8.109    0     
