#deg,kpc
#RA      DEC  Rhel  Flag
  19.8  -39.9 20.   0
  19.7  -39.8 20.   0
  19.7  -39.7 20.   0
  19.6  -39.6 20.   0
  19.5  -39.5 20.   0
  19.4  -39.5 20.   0
  19.4  -39.4 20.   0
  19.3  -39.3 20.   0
  19.2  -39.2 20.   0
  19.1  -39.1 20.   0
  19.1  -39.1 20.   0
  19.0  -39.0 20.   0
  18.9  -38.9 20.   0
  18.9  -38.8 20.   0
  18.8  -38.7 20.   0
  18.7  -38.6 20.   0
  18.7  -38.6 20.   0
  18.6  -38.5 20.   0
  18.5  -38.4 20.   0
  18.5  -38.3 20.   0
  18.4  -38.2 20.   0
  18.3  -38.2 20.   0
  18.3  -38.1 20.   0
  18.2  -38.0 20.   0
  18.2  -37.9 20.   0
  18.1  -37.8 20.   0
  18.0  -37.8 20.   0
  18.0  -37.7 20.   0
  17.9  -37.6 20.   0
  17.9  -37.5 20.   0
  17.8  -37.4 20.   0
  17.7  -37.4 20.   0
  17.7  -37.3 20.   0
  17.6  -37.2 20.   0
  17.6  -37.1 20.   0
  17.5  -37.0 20.   0
  17.5  -36.9 20.   0
  17.4  -36.9 20.   0
  17.4  -36.8 20.   0
  17.3  -36.7 20.   0
  17.3  -36.6 20.   0
  17.2  -36.5 20.   0
  17.2  -36.5 20.   0
  17.1  -36.4 20.   0
  17.1  -36.3 20.   0
  17.0  -36.2 20.   0
  17.0  -36.1 20.   0
  16.9  -36.1 20.   0
  16.9  -36.0 20.   0
  16.8  -35.9 20.   0
  16.8  -35.8 20.   0
  16.7  -35.7 20.   0
  16.7  -35.6 20.   0
  16.7  -35.6 20.   0
  16.6  -35.5 20.   0
  16.6  -35.4 20.   0
  16.5  -35.3 20.   0
  16.5  -35.2 20.   0
  16.4  -35.2 20.   0
  16.4  -35.1 20.   0
  16.4  -35.0 20.   0
  16.3  -34.9 20.   0
  16.3  -34.8 20.   0
  16.2  -34.8 20.   0
  16.2  -34.7 20.   0
  16.2  -34.6 20.   0
  16.1  -34.5 20.   0
  16.1  -34.4 20.   0
  16.1  -34.4 20.   0
  16.0  -34.3 20.   0
  16.0  -34.2 20.   0
  16.0  -34.1 20.   0
  15.9  -34.0 20.   0
  15.9  -33.9 20.   0
  15.9  -33.9 20.   0
  15.8  -33.8 20.   0
  15.8  -33.7 20.   0
  15.8  -33.6 20.   0
  15.7  -33.5 20.   0
  15.7  -33.5 20.   0
  15.7  -33.4 20.   0
  15.6  -33.3 20.   0
  15.6  -33.2 20.   0
  15.6  -33.1 20.   0
  15.5  -33.1 20.   0
  15.5  -33.0 20.   0
  15.5  -32.9 20.   0
  15.4  -32.8 20.   0
  15.4  -32.7 20.   0
  15.4  -32.6 20.   0
  15.4  -32.6 20.   0
  15.3  -32.5 20.   0
  15.3  -32.4 20.   0
  15.3  -32.3 20.   0
  15.3  -32.2 20.   0
  15.2  -32.2 20.   0
  15.2  -32.1 20.   0
  15.2  -32.0 20.   0
  15.2  -31.9 20.   0
  15.1  -31.8 20.   0
  15.1  -31.8 20.   0
  15.1  -31.7 20.   0
  15.1  -31.6 20.   0
  15.0  -31.5 20.   0
  15.0  -31.4 20.   0
  15.0  -31.4 20.   0
  15.0  -31.3 20.   0
  14.9  -31.2 20.   0
  14.9  -31.1 20.   0
  14.9  -31.0 20.   0
  14.9  -30.9 20.   0
  14.9  -30.9 20.   0
  14.8  -30.8 20.   0
  14.8  -30.7 20.   0
  14.8  -30.6 20.   0
  14.8  -30.5 20.   0
  14.8  -30.5 20.   0
  14.7  -30.4 20.   0
  14.7  -30.3 20.   0
  14.7  -30.2 20.   0
  14.7  -30.1 20.   0
  14.7  -30.1 20.   0
  14.6  -30.0 20.   0
  14.6  -29.9 20.   0
  14.6  -29.8 20.   0
  14.6  -29.7 20.   0
  14.6  -29.6 20.   0
  14.6  -29.6 20.   0
  14.5  -29.5 20.   0
  14.5  -29.4 20.   0
  14.5  -29.3 20.   0
  14.5  -29.2 20.   0
  14.5  -29.2 20.   0
  14.5  -29.1 20.   0
  14.4  -29.0 20.   0
  14.4  -28.9 20.   0
  14.4  -28.8 20.   0
  14.4  -28.8 20.   0
  14.4  -28.7 20.   0
  14.4  -28.6 20.   0
  14.4  -28.5 20.   0
  14.3  -28.4 20.   0
  14.3  -28.4 20.   0
  14.3  -28.3 20.   0
  14.3  -28.2 20.   0
  14.3  -28.1 20.   0
  14.3  -28.0 20.   0
  14.3  -27.9 20.   0
  14.3  -27.9 20.   0
  14.2  -27.8 20.   0
  14.2  -27.7 20.   0
  14.2  -27.6 20.   0
  14.2  -27.5 20.   0
  14.2  -27.5 20.   0
  14.2  -27.4 20.   0
  14.2  -27.3 20.   0
  14.2  -27.2 20.   0
  14.1  -27.1 20.   0
  14.1  -27.1 20.   0
  14.1  -27.0 20.   0
  14.1  -26.9 20.   0
  14.1  -26.8 20.   0
  14.1  -26.7 20.   0
  14.1  -26.6 20.   0
  14.1  -26.6 20.   0
  14.1  -26.5 20.   0
  14.0  -26.4 20.   0
  14.0  -26.3 20.   0
  14.0  -26.2 20.   0
  14.0  -26.2 20.   0
  14.0  -26.1 20.   0
  14.0  -26.0 20.   0
  14.0  -25.9 20.   0
  14.0  -25.8 20.   0
  14.0  -25.8 20.   0
  14.0  -25.7 20.   0
  13.9  -25.6 20.   0
  13.9  -25.5 20.   0
  13.9  -25.4 20.   0
  13.9  -25.4 20.   0
  13.9  -25.3 20.   0
  13.9  -25.2 20.   0
  13.9  -25.1 20.   0
  13.9  -25.0 20.   0
  13.9  -24.9 20.   0
  13.9  -24.9 20.   0
  13.8  -24.8 20.   0
  13.8  -24.7 20.   0
  13.8  -24.6 20.   0
  13.8  -24.5 20.   0
  13.8  -24.5 20.   0
  13.8  -24.4 20.   0
  13.8  -24.3 20.   0
  13.8  -24.2 20.   0
  13.8  -24.1 20.   0
  13.8  -24.1 20.   0
  13.8  -24.0 20.   0
  13.8  -23.9 20.   0
  13.7  -23.8 20.   0
  13.7  -23.7 20.   0
  13.7  -23.6 20.   0
  13.7  -23.6 20.   0
  13.7  -23.5 20.   0
  13.7  -23.4 20.   0
  13.7  -23.3 20.   0
  13.7  -23.2 20.   0
  13.7  -23.2 20.   0
  13.7  -23.1 20.   0
  13.7  -23.0 20.   0
  13.7  -22.9 20.   0
  13.6  -22.8 20.   0
  13.6  -22.8 20.   0
  13.6  -22.7 20.   0
  13.6  -22.6 20.   0
  13.6  -22.5 20.   0
  13.6  -22.4 20.   0
  13.6  -22.4 20.   0
  13.6  -22.3 20.   0
  13.6  -22.2 20.   0
  13.6  -22.1 20.   0
  13.6  -22.0 20.   0
  13.6  -21.9 20.   0
  13.5  -21.9 20.   0
  13.5  -21.8 20.   0
  13.5  -21.7 20.   0
  13.5  -21.6 20.   0
  13.5  -21.5 20.   0
  13.5  -21.5 20.   0
  13.5  -21.4 20.   0
  13.5  -21.3 20.   0
  13.5  -21.2 20.   0
  13.5  -21.1 20.   0
  13.5  -21.1 20.   0
  13.5  -21.0 20.   0
  13.5  -20.9 20.   0
  13.4  -20.8 20.   0
  13.4  -20.7 20.   0
  13.4  -20.6 20.   0
  13.4  -20.6 20.   0
  13.4  -20.5 20.   0
  13.4  -20.4 20.   0
  13.4  -20.3 20.   0
  13.4  -20.2 20.   0
  13.4  -20.2 20.   0
  13.4  -20.1 20.   0
  13.4  -20.0 20.   0
  13.3  -19.9 20.   0
  13.3  -19.8 20.   0
  13.3  -19.8 20.   0
  13.3  -19.7 20.   0
  13.3  -19.6 20.   0
  13.3  -19.5 20.   0
  13.3  -19.4 20.   0
  13.3  -19.4 20.   0
  13.3  -19.3 20.   0
  13.3  -19.2 20.   0
  13.3  -19.1 20.   0
  13.2  -19.0 20.   0
  13.2  -18.9 20.   0
  13.2  -18.9 20.   0
  13.2  -18.8 20.   0
  13.2  -18.7 20.   0
  13.2  -18.6 20.   0
  13.2  -18.5 20.   0
  13.2  -18.5 20.   0
  13.2  -18.4 20.   0
  13.2  -18.3 20.   0
  13.1  -18.2 20.   0
  13.1  -18.1 20.   0
  13.1  -18.1 20.   0
  13.1  -18.0 20.   0
  13.1  -17.9 20.   0
  13.1  -17.8 20.   0
  13.1  -17.7 20.   0
  13.1  -17.6 20.   0
  13.1  -17.6 20.   0
  13.1  -17.5 20.   0
  13.0  -17.4 20.   0
  13.0  -17.3 20.   0
  13.0  -17.2 20.   0
  13.0  -17.2 20.   0
  13.0  -17.1 20.   0
  13.0  -17.0 20.   0
  13.0  -16.9 20.   0
  13.0  -16.8 20.   0
  13.0  -16.8 20.   0
  12.9  -16.7 20.   0
  12.9  -16.6 20.   0
  12.9  -16.5 20.   0
  12.9  -16.4 20.   0
  12.9  -16.4 20.   0
  12.9  -16.3 20.   0
  12.9  -16.2 20.   0
  12.9  -16.1 20.   0
  12.8  -16.0 20.   0
  12.8  -15.9 20.   0
  12.8  -15.9 20.   0
  12.8  -15.8 20.   0
  12.8  -15.7 20.   0
  12.8  -15.6 20.   0
  12.8  -15.5 20.   0
  12.8  -15.5 20.   0
  12.7  -15.4 20.   0
  12.7  -15.3 20.   0
  12.7  -15.2 20.   0
  12.7  -15.1 20.   0
  12.7  -15.1 20.   0
  12.7  -15.0 20.   0
  12.7  -14.9 20.   0
  12.6  -14.8 20.   0
  12.6  -14.7 20.   0
  12.6  -14.6 20.   0
  12.6  -14.6 20.   0
  12.6  -14.5 20.   0
  12.6  -14.4 20.   0
  12.6  -14.3 20.   0
  12.5  -14.2 20.   0
  12.5  -14.2 20.   0
  12.5  -14.1 20.   0
  12.5  -14.0 20.   0
  12.5  -13.9 20.   0
  12.5  -13.8 20.   0
  12.4  -13.8 20.   0
  12.4  -13.7 20.   0
  12.4  -13.6 20.   0
  12.4  -13.5 20.   0
  12.4  -13.4 20.   0
  12.4  -13.4 20.   0
  12.4  -13.3 20.   0
  12.3  -13.2 20.   0
  12.3  -13.1 20.   0
  12.3  -13.0 20.   0
  12.3  -12.9 20.   0
  12.3  -12.9 20.   0
  12.3  -12.8 20.   0
  12.2  -12.7 20.   0
  12.2  -12.6 20.   0
  12.2  -12.5 20.   0
  12.2  -12.5 20.   0
  12.2  -12.4 20.   0
  12.1  -12.3 20.   0
  12.1  -12.2 20.   0
  12.1  -12.1 20.   0
  12.1  -12.1 20.   0
  12.1  -12.0 20.   0
  12.1  -11.9 20.   0
  12.0  -11.8 20.   0
  12.0  -11.7 20.   0
  12.0  -11.6 20.   0
  12.0  -11.6 20.   0
  12.0  -11.5 20.   0
  11.9  -11.4 20.   0
  11.9  -11.3 20.   0
  11.9  -11.2 20.   0
  11.9  -11.2 20.   0
  11.9  -11.1 20.   0
  11.8  -11.0 20.   0
  11.8  -10.9 20.   0
  11.8  -10.8 20.   0
  11.8  -10.8 20.   0
  11.8  -10.7 20.   0
  11.7  -10.6 20.   0
  11.7  -10.5 20.   0
  11.7  -10.4 20.   0
  11.7  -10.4 20.   0
  11.7  -10.3 20.   0
  11.6  -10.2 20.   0
  11.6  -10.1 20.   0
  11.6  -10.0 20.   0
  11.6   -9.9 20.   0
  11.5   -9.9 20.   0
  11.5   -9.8 20.   0
  11.5   -9.7 20.   0
  11.5   -9.6 20.   0
  11.5   -9.5 20.   0
  11.4   -9.5 20.   0
  11.4   -9.4 20.   0
  11.4   -9.3 20.   0
  11.4   -9.2 20.   0
  11.3   -9.1 20.   0
  11.3   -9.1 20.   0
  11.3   -9.0 20.   0
  11.3   -8.9 20.   0
  11.3   -8.8 20.   0
  11.2   -8.7 20.   0
  11.2   -8.6 20.   0
  11.2   -8.6 20.   0
  11.2   -8.5 20.   0
  11.1   -8.4 20.   0
  11.1   -8.3 20.   0
  11.1   -8.2 20.   0
  11.1   -8.2 20.   0
  11.0   -8.1 20.   0
  11.0   -8.0 20.   0
  11.0   -7.9 20.   0
  11.0   -7.8 20.   0
  10.9   -7.8 20.   0
  10.9   -7.7 20.   0
  10.9   -7.6 20.   0
  10.9   -7.5 20.   0
  10.8   -7.4 20.   0
  10.8   -7.4 20.   0
  10.8   -7.3 20.   0
  10.7   -7.2 20.   0
  10.7   -7.1 20.   0
  10.7   -7.0 20.   0
  10.7   -6.9 20.   0
  10.6   -6.9 20.   0
  10.6   -6.8 20.   0
  10.6   -6.7 20.   0
  10.6   -6.6 20.   0
  10.5   -6.5 20.   0
  10.5   -6.5 20.   0
  10.5   -6.4 20.   0
  10.5   -6.3 20.   0
  10.4   -6.2 20.   0
  10.4   -6.1 20.   0
  10.4   -6.1 20.   0
  10.3   -6.0 20.   0
  10.3   -5.9 20.   0
  10.3   -5.8 20.   0
  10.3   -5.7 20.   0
  10.2   -5.6 20.   0
  10.2   -5.6 20.   0
  10.2   -5.5 20.   0
  10.1   -5.4 20.   0
  10.1   -5.3 20.   0
  10.1   -5.2 20.   0
  10.0   -5.2 20.   0
  10.0   -5.1 20.   0
  10.0   -5.0 20.   0
  10.0   -4.9 20.   0
   9.9   -4.8 20.   0
   9.9   -4.8 20.   0
   9.9   -4.7 20.   0
   9.8   -4.6 20.   0
   9.8   -4.5 20.   0
   9.8   -4.4 20.   0
   9.7   -4.4 20.   0
   9.7   -4.3 20.   0
   9.7   -4.2 20.   0
   9.6   -4.1 20.   0
   9.6   -4.0 20.   0
   9.6   -3.9 20.   0
   9.6   -3.9 20.   0
   9.5   -3.8 20.   0
   9.5   -3.7 20.   0
   9.5   -3.6 20.   0
   9.4   -3.5 20.   0
   9.4   -3.5 20.   0
   9.4   -3.4 20.   0
   9.3   -3.3 20.   0
   9.3   -3.2 20.   0
   9.3   -3.1 20.   0
   9.2   -3.1 20.   0
   9.2   -3.0 20.   0
   9.2   -2.9 20.   0
   9.1   -2.8 20.   0
   9.1   -2.7 20.   0
   9.1   -2.6 20.   0
   9.0   -2.6 20.   0
   9.0   -2.5 20.   0
   9.0   -2.4 20.   0
   8.9   -2.3 20.   0
   8.9   -2.2 20.   0
   8.9   -2.2 20.   0
   8.8   -2.1 20.   0
   8.8   -2.0 20.   0
   8.8   -1.9 20.   0
   8.7   -1.8 20.   0
   8.7   -1.8 20.   0
   8.6   -1.7 20.   0
   8.6   -1.6 20.   0
   8.6   -1.5 20.   0
