#      RA     DEC  D_kpc
  170.23   -22.99   16.9
  170.09   -22.60   16.9
  169.95   -22.22   16.9
  169.81   -21.84   17.0
  169.67   -21.47   17.0
  169.53   -21.09   17.0
  169.39   -20.71   17.0
  169.25   -20.33   17.0
  169.10   -19.95   17.0
  168.96   -19.57   17.1
  168.81   -19.20   17.1
  168.67   -18.82   17.1
  168.52   -18.44   17.1
  168.37   -18.06   17.1
  168.22   -17.69   17.2
  168.07   -17.31   17.2
  167.92   -16.94   17.2
  167.77   -16.56   17.2
  167.61   -16.18   17.2
  167.46   -15.81   17.3
  167.31   -15.43   17.3
  167.15   -15.06   17.3
  167.00   -14.68   17.3
  166.84   -14.31   17.4
  166.69   -13.93   17.4
  166.53   -13.56   17.4
  166.38   -13.18   17.4
  166.22   -12.81   17.5
  166.06   -12.44   17.5
  165.91   -12.06   17.5
  165.75   -11.69   17.6
  165.59   -11.31   17.6
  165.44   -10.94   17.6
  165.28   -10.57   17.7
  165.12   -10.19   17.7
  164.96    -9.82   17.7
  164.80    -9.44   17.8
  164.65    -9.07   17.8
  164.49    -8.70   17.9
  164.33    -8.32   17.9
  164.17    -7.95   18.0
  164.01    -7.57   18.0
  163.86    -7.20   18.1
  163.70    -6.83   18.1
  163.54    -6.45   18.2
  163.38    -6.08   18.3
  163.23    -5.70   18.3
  163.07    -5.33   18.4
  162.91    -4.96   18.5
  162.76    -4.58   18.5
  162.60    -4.21   18.6
  162.44    -3.83   18.7
  162.29    -3.46   18.7
  162.13    -3.08   18.8
  161.98    -2.71   18.9
  161.82    -2.34   19.0
  161.67    -1.96   19.1
  161.52    -1.59   19.2
  161.37    -1.21   19.3
  161.21    -0.84   19.4
  161.06    -0.46   19.5
  160.91    -0.08   19.6
  160.76     0.29   19.7
  160.61     0.67   19.8
  160.46     1.04   19.9
  160.32     1.42   20.0
  160.17     1.80   20.1
  160.02     2.17   20.2
  159.88     2.55   20.3
  159.73     2.92   20.5
  159.59     3.30   20.6
  159.44     3.68   20.7
  159.30     4.06   20.8
  159.15     4.43   21.0
  159.01     4.81   21.1
  158.87     5.19   21.2
  158.73     5.56   21.4
  158.58     5.94   21.5
  158.44     6.32   21.6
  158.30     6.70   21.8
  158.16     7.07   21.9
  158.02     7.45   22.1
  157.88     7.83   22.2
  157.74     8.21   22.4
  157.60     8.59   22.5
  157.46     8.96   22.7
  157.32     9.34   22.8
  157.18     9.72   23.0
  157.05    10.10   23.2
  156.91    10.48   23.3
  156.77    10.86   23.5
  156.63    11.23   23.7
  156.49    11.61   23.8
  156.36    11.99   24.0
  156.22    12.37   24.2
  156.08    12.75   24.4
  155.94    13.13   24.5
  155.81    13.51   24.7
  155.67    13.88   24.9
  155.53    14.26   25.1
  155.39    14.64   25.3
  155.25    15.02   25.5
  155.12    15.40   25.7
  154.98    15.78   25.9
  154.84    16.16   26.1
  154.70    16.53   26.2
  154.57    16.91   26.4
  154.43    17.29   26.6
  154.29    17.67   26.8
  154.15    18.05   27.1
  154.01    18.43   27.3
  153.87    18.81   27.5
  153.73    19.19   27.7
  153.59    19.56   27.9
  153.45    19.94   28.1
  153.31    20.32   28.3
  153.17    20.70   28.5
  153.03    21.08   28.8
  152.89    21.46   29.0
  152.75    21.83   29.2
  152.60    22.21   29.4
  152.46    22.59   29.6
  152.32    22.97   29.9
  152.18    23.35   30.1
  152.03    23.73   30.3
  151.89    24.10   30.6
  151.74    24.48   30.8
  151.59    24.86   31.0
  151.45    25.24   31.3
  151.30    25.62   31.5
  151.15    25.99   31.8
  151.00    26.37   32.0
  150.86    26.75   32.2
  150.71    27.13   32.5
  150.56    27.50   32.7
  150.41    27.88   33.0
  150.26    28.26   33.2
  150.10    28.64   33.5
  149.95    29.01   33.7
  149.80    29.39   34.0
  149.65    29.77   34.2
  149.50    30.15   34.5
  149.35    30.52   34.7
  149.19    30.90   35.0
  149.04    31.28   35.2
  148.89    31.66   35.5
  148.73    32.04   35.8
  148.58    32.42   36.0
  148.43    32.79   36.3
  148.27    33.17   36.5
  148.12    33.55   36.8
  147.97    33.93   37.1
  147.82    34.31   37.3
  147.66    34.69   37.6
  147.51    35.07   37.9
  147.36    35.45   38.1
  147.21    35.83   38.4
  147.05    36.21   38.7
  146.90    36.59   38.9
  146.75    36.98   39.2
  146.60    37.36   39.5
  146.45    37.74   39.7
  146.30    38.12   40.0
  146.15    38.51   40.3
  146.00    38.89   40.6
  145.85    39.28   40.8
  145.71    39.66   41.1
  145.56    40.05   41.4
  145.41    40.43   41.7
  145.27    40.82   41.9
  145.12    41.21   42.2
  144.97    41.59   42.5
  144.83    41.98   42.7
  144.68    42.37   43.0
  144.54    42.76   43.3
  144.39    43.15   43.6
  144.25    43.54   43.9
  144.10    43.93   44.1
  143.96    44.32   44.4
  143.81    44.71   44.7
  143.66    45.10   45.0
  143.52    45.49   45.2
  143.37    45.88   45.5
  143.22    46.27   45.8
  143.07    46.66   46.1
  142.92    47.05   46.3
  142.77    47.45   46.6
  142.62    47.84   46.9
  142.47    48.23   47.2
  142.31    48.62   47.4
  142.16    49.02   47.7
  142.00    49.41   48.0
  141.84    49.80   48.3
  141.68    50.20   48.5
  141.52    50.59   48.8
